Feature,Coefficient
Feature_0,-0.004212650874163995
Feature_1,-0.001205101373595011
Feature_2,-0.009173212986817099
Feature_3,-0.0044802195029844255
Feature_4,-0.0
Feature_5,0.0
Feature_6,0.0
Feature_7,0.0
Feature_8,0.0
Feature_9,0.0
Feature_10,0.0
Feature_11,0.005790823485517169
Feature_12,0.007183932327607331
Feature_13,0.005492523864433138
Feature_14,-0.009083511078837935
Feature_15,0.0031544197104311274
Feature_16,-0.0001592834973539348
Feature_17,0.0013045090451642104
Feature_18,2.156180877020462e-05
Feature_19,-0.0
Feature_20,-0.007420689885165347
Feature_21,0.0027667539600541653
Feature_22,0.00800785865715109
Feature_23,0.00559193421829754
Feature_24,-0.00015587420703867268
Feature_25,0.004581397502755184
Feature_26,0.0018047732819869591
Feature_27,-0.00036393314441674683
Feature_28,0.011422134661653337
Feature_29,0.0008130047720822695
Feature_30,0.0019356811614126392
Feature_31,0.0019365264858082207
Feature_32,-0.00036060651800058955
Feature_33,0.00669682015330286
Feature_34,-0.007795061896348529
Feature_35,-0.0005059511366560007
Feature_36,0.0017439583792310707
Feature_37,0.001946241239141687
Feature_38,-0.005688672751337568
Feature_39,0.002574938231486826
Feature_40,-0.011616404816794056
Feature_41,-0.001914151251141061
Feature_42,-0.005913643612781713
Feature_43,-0.001298074102254812
Feature_44,0.00568511157173702
Feature_45,0.006292548532584261
Feature_46,0.0004986939091858435
Feature_47,-0.004307877362140521
Feature_48,-0.0024182865094796494
Feature_49,0.00045141845221607636
Feature_50,0.0015503753835169006
Feature_51,-0.0
Feature_52,0.0022676818477286452
Feature_53,-0.0006771134108010075
Feature_54,0.003850362416439652
Feature_55,-0.00421477398023744
Feature_56,0.004965939385031556
Feature_57,0.0
Feature_58,-0.0012177553084707009
Feature_59,0.002717084613094189
Feature_60,0.002051689161118304
Feature_61,0.0004642331563449042
Feature_62,-0.001827424214639698
Feature_63,0.0
Feature_64,0.0019599127688386675
Feature_65,0.0015886176663540334
Feature_66,0.0034303671269723867
Feature_67,0.007131163281619992
Feature_68,0.0
Feature_69,-0.005782074580366188
Feature_70,0.0011110945720097251
Feature_71,-0.011999562971050903
Feature_72,-0.010880356243356136
Feature_73,0.002096166796308072
Feature_74,0.0028210567199617883
Feature_75,-0.0
Feature_76,0.014311129535176314
Feature_77,-0.0018879596726661379
Feature_78,0.009447964624387208
Feature_79,0.0029612312515680883
Feature_80,-0.0
Feature_81,-0.0019756163330251443
Feature_82,-0.0010196618370422504
Feature_83,0.0
Feature_84,0.006492651082953808
Feature_85,0.05494650865711196
Feature_86,0.0
Feature_87,0.0
Feature_88,0.0
Feature_89,0.0
Feature_90,0.0
