COLOR,COMPKEY,FEEDERDIAM,FEEDERLEN,INSTDATE,MFGKEY,OUTLSZ1,OUTLSZ2,OUTLSZ3,PRESZONE,UNITTYPE,LONGKEY,PLUGGED,NONSCHE,FZONENUM,DECLREQD,HYMARKER,Letters,FLSHFRE_DAYS
ORANGE,3982.0,0.0,1.2,2008-07-25 07:43:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
BLUE,3367.0,0.0,1.5,2008-09-23 09:50:00,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,2702.0,0.0,1.2,2006-11-13 08:26:00,1022,63,63,0,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,2704.0,0.0,0.9,1985-01-01,1022,63,150,63,4,HYBLWF,N,N,Y,FZ-C03,N,N,B,90
BLUE,1349.0,0.0,1.2,2008-10-27 07:45:00,1022,63,63,0,5,HYBLWF,N,N,N,FZ-C03,N,y,B,365
BLUE,1350.0,0.0,2.0,2008-10-17 15:49:00,1009,63,63,0,6,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,1369.0,0.0,1.4,2008-11-10 07:39:00,1012,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
ORANGE,2118.0,0.0,4.5,2008-06-18 14:30:00,1009,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,2120.0,0.0,1.0,2008-10-09 11:25:00,1012,63,63,0,6,HYBLWF,N,N,N,FZ-C01,Y,Y,B,365
BLUE,1566.0,0.0,5.0,1988-09-16,1012,63,150,63,5,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
BLUE,4170.0,0.0,1.4,1994-10-18,1009,63,150,63,4,HYBLWF,N,N,N,FZ-C02,Y,Y,B,180
BLUE,4172.0,0.0,1.0,2007-10-24 23:00:00,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,4183.0,0.0,1.0,2008-07-25 07:43:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,N,N,B,365
BLUE,4184.0,0.0,1.0,2008-07-25 07:43:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
BLUE,4187.0,0.0,1.0,1983-05-12,1022,63,63,0,5D,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,4190.0,0.0,1.0,2008-10-15 08:32:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
BLUE,4203.0,0.0,1.0,2003-02-20 09:01:00,1012,63,150,63,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
GREEN,2753.0,0.0,1.1,2008-06-30 07:57:00,1012,63,150,63,6,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,3575.0,0.0,2.0,2008-09-24 10:52:00,1009,63,150,63,6,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
BLUE,3597.0,0.0,1.0,2008-10-17 15:35:00,1009,63,150,63,6,HYBLWF,N,N,N,FZ-C01,Y,Y,B,365
GREEN,2151.0,0.0,1.2,2008-07-10 09:57:00,1022,63,150,63,6,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,2363.0,0.0,1.4,2008-11-10 07:39:00,1012,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,180
BLUE,1758.0,0.0,0.8,1996-09-26,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,Y,N,B,365
BLUE,3613.0,0.0,2.5,2008-10-07 09:09:00,1009,63,63,0,5,HYBLWF,N,N,N,FZ-C02,N,N,B,365
ORANGE,1163.0,0.0,3.0,2008-09-19 08:39:00,1012,63,150,63,5,HYBLWF,N,N,N,FZ-C02,N,N,B,365
BLUE,1180.0,0.0,1.4,2008-06-25 11:41:00,1022,63,150,63,4,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,2946.0,0.0,1.0,2008-11-13 10:30:00,1022,63,150,63,6,HYBLWF,N,N,N,FZ-C01,N,N,B,365
BLUE,2961.0,0.0,9.9,2008-07-11 15:56:00,1022,63,150,63,4,HYBLWF,N,N,N,FZ-C03,Y,Y,S,180
BLUE,3146.0,0.0,1.4,1989-03-01,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,3147.0,0.0,1.2,2008-10-22 09:04:00,1022,63,150,63,6,HYBLWF,N,N,N,FZ-C01,N,N,B,365
BLUE,1961.0,0.0,2.0,1993-01-01,1022,63,150,63,4,HYBLWF,N,N,N,FZ-C02,Y,N,B,180
BLUE,1980.0,0.0,1.5,2008-11-12 08:23:00,1022,63,63,0,5,HYBLWF,N,N,N,FZ-C03,Y,Y,B,365
BLUE,3816.0,0.0,3.5,1987-10-09,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,3819.0,0.0,3.5,2008-03-04 23:00:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C03,Y,Y,B,365
BLUE,4055.0,0.0,0.9,2008-07-18 10:18:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,Y,N,B,365
BLUE,1584.0,0.0,1.2,2008-10-23 09:47:00,1012,63,150,63,6,HYBLWF,N,N,N,FZ-C01,N,N,B,365
BLUE,3425.0,0.0,1.0,2008-06-18 13:23:00,1022,63,63,0,5,HYBLWF,N,N,N,FZ-C03,N,N,B,7
BLUE,3436.0,0.0,0.9,2008-08-29 10:23:00,1022,63,63,0,6,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,1991.0,0.0,3.0,2008-06-13 13:52:00,1012,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,1998.0,0.0,1.0,2008-09-24 10:55:00,1004,63,63,0,6,HYBLWF,N,N,N,FZ-C01,N,Y,B,365
BLUE,2004.0,0.0,1.2,2008-06-16 14:44:00,1009,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
GREEN,1397.0,0.0,1.0,2008-07-14 11:18:00,1012,63,150,63,5,HYBLWF,N,N,N,FZ-C03,Y,N,B,365
BLUE,2182.0,0.0,1.0,2007-01-11 08:44:00,1022,63,63,0,6,HYBLWF,N,N,N,FZ-C01,N,Y,B,365
ORANGE,1585.0,0.0,1.4,2007-05-09 08:44:00,1012,63,150,63,5,HYBLWF,N,N,N,FZ-C03,Y,N,B,180
BLUE,1607.0,0.0,1.4,2008-06-12 14:14:00,1009,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,1618.0,0.0,1.1,1988-08-12,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,1624.0,0.0,1.4,2008-09-18 11:39:00,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,1002.0,0.0,2.0,1986-08-01,1022,63,150,63,4,HYBLWF,N,N,N,FZ-C02,N,N,B,365
ORANGE,1038.0,0.0,1.2,2008-11-05 08:12:00,1022,63,63,0,5,HYBLWF,N,N,N,FZ-C03,Y,N,B,180
BLUE,2802.0,0.0,1.2,2008-10-31 08:58:00,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,Y,N,B,365
GREEN,3625.0,0.0,1.2,2001-03-30 11:00:00,1022,63,150,63,6,HYBLWF,N,N,Y,FZ-C01,N,Y,B,365
BLUE,3637.0,0.0,1.1,2008-07-08 10:26:00,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,3638.0,0.0,0.9,2001-11-12 15:34:00,1022,63,63,0,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,3647.0,0.0,1.3,1995-12-11,1022,63,150,63,6,HYBLWF,N,N,Y,FZ-C01,N,N,B,365
BLUE,2222.0,0.0,1.2,2008-10-17 15:49:00,1022,63,150,63,6,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,2983.0,0.0,1.0,2008-10-21 07:31:00,1012,63,150,63,6,HYBLWF,N,N,N,FZ-C01,Y,Y,B,365
BLUE,2389.0,0.0,1.5,2008-08-29 10:10:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,2390.0,0.0,1.0,2002-10-28 08:26:00,1022,63,63,0,6,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
GREEN,2395.0,0.0,1.2,2008-10-22 09:30:00,1012,63,150,63,5,HYBLWF,N,Y,N,FZ-C02,N,N,B,365
BLUE,2421.0,0.0,0.9,2008-08-29 10:23:00,1012,63,63,0,6,HYBLWF,N,N,N,FZ-C03,N,N,B,365
GREEN,3676.0,0.0,1.0,2008-09-04 07:54:00,1012,63,63,0,7,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
BLUE,1220.0,0.0,1.6,1989-11-01,1022,63,150,63,4,HYBLWF,N,N,N,FZ-C03,Y,y,S,120
BLUE,1229.0,0.0,1.5,2008-11-18 09:29:00,1009,63,150,63,6,HYBLWF,N,N,N,FZ-C02,Y,y,B,365
BLUE,1231.0,0.0,1.2,2006-11-20 07:57:00,1012,63,63,0,6,HYBLWF,N,N,N,FZ-C01,Y,Y,B,365
BLUE,657374.0,150.0,2.5,2004-08-01,1881,63,150,63,5,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
BLUE,3242.0,0.0,1.2,1990-08-01,1012,63,150,63,6,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
GREEN,2595.0,0.0,1.2,2002-04-22 10:45:00,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,2599.0,0.0,1.6,2008-10-23 08:42:00,1012,63,63,0,6,HYBLWF,N,N,N,FZ-C01,Y,Y,B,365
BLUE,2602.0,0.0,0.9,2003-02-04 12:45:00,1022,63,63,0,6,HYBLWF,N,N,N,FZ-C01,N,y,B,365
BLUE,2615.0,0.0,2.0,2008-11-14 08:29:00,1009,63,150,63,6,HYBLWF,N,N,N,FZ-C02,Y,N,B,365
BLUE,2017.0,0.0,1.3,2008-08-29 09:35:00,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
